name,default,description,type
move_facing_flop_4bet,,The move the player did when facing the flop 4bet,ActionMove
move_facing_flop_cbet,,The move the player did when facing the flop cbet,ActionMove
move_facing_flop_donk_bet,,The move the player did when facing the flop donk bet,ActionMove
flag_saw_turn,False,Whether the player saw the turn,bool
flag_turn_first_to_talk,False,Whether the player was the first to talk on the turn,bool
flag_turn_has_position,False,Whether the player had position on the turn,bool
flag_turn_bet,False,Whether the player bet on the turn,bool
flag_turn_open_opportunity,False,Whether the player had the opportunity to open on the turn,bool
flag_turn_open,False,Whether the player opened on the turn,bool
flag_turn_cbet_opportunity,False,Whether the player had the opportunity to make a continuation bet on the turn,bool
flag_turn_cbet,False,Whether the player made a continuation bet on the turn,bool
flag_turn_face_cbet,False,Whether the player faced a continuation bet on the turn,bool
flag_turn_donk_bet_opportunity,False,Whether the player had the opportunity to make a donk bet on the turn,bool
flag_turn_donk_bet,False,Whether the player made a donk bet on the turn,bool
flag_turn_face_donk_bet,False,Whether the player faced a donk bet on the turn,bool
flag_turn_first_raise,False,Whether the player made the first raise on the turn,bool
flag_turn_fold,False,Whether the player folded on the turn,bool
flag_turn_check,False,Whether the player checked on the turn,bool
flag_turn_check_raise,False,Whether the player check-raised on the turn,bool
flag_turn_face_raise,False,Whether the player faced a raise on the turn,bool
flag_turn_3bet_opportunity,False,Whether the player had the opportunity to 3bet on the turn,bool
flag_turn_3bet,False,Whether the player 3bet on the turn,bool
flag_turn_face_3bet,False,Whether the player faced a 3bet on the turn,bool
flag_turn_4bet_opportunity,False,Whether the player had the opportunity to 4+bet on the turn,bool
flag_turn_4bet,False,Whether the player 4+bet on the turn,bool
flag_turn_face_4bet,False,Whether the player faced a 4+bet on the turn,bool
count_turn_player_raises,0,The number of raises the player made on the turn,int
count_turn_player_calls,0,The number of calls the player made on the turn,int
turn_actions_sequence,,The sequence of actions the player made on the turn,ActionsSequence
amount_turn_effective_stack,0.0,The effective stack the player had on the turn,float
amount_to_call_facing_turn_bet,0.0,The amount the player had to call facing the turn bet,float
amount_to_call_facing_turn_2bet,0.0,The amount the player had to call facing the turn 2bet,float
amount_to_call_facing_turn_3bet,0.0,The amount the player had to call facing the turn 3bet,float
amount_to_call_facing_turn_4bet,0.0,The amount the player had to call facing the turn 4bet,float
amount_bet_made_turn,0.0,The amount the player used to bet on the turn,float
amount_first_raise_made_turn,0.0,The amount the player used on his first raise on the turn,float
amount_second_raise_made_turn,0.0,The amount the player used on his second raise on the turn,float
ratio_to_call_facing_turn_bet,0.0,The ratio of the pot the player had to call facing the turn bet,float
ratio_to_call_facing_turn_2bet,0.0,The ratio of the pot the player had to call facing the turn 2bet,float
ratio_to_call_facing_turn_3bet,0.0,The ratio of the pot the player had to call facing the turn 3bet,float
ratio_to_call_facing_turn_4bet,0.0,The ratio of the pot the player had to call facing the turn 4bet,float
ratio_bet_made_turn,0.0,The ratio of the pot the player used to bet on the turn,float
ratio_first_raise_made_turn,0.0,The ratio of the pot the player used on his first raise on the turn,float
ratio_second_raise_made_turn,0.0,The ratio of the pot the player used on his second raise on the turn,float
total_turn_bet_amount,0.0,The total amount the player bet on the turn,float
move_facing_turn_bet,,The move the player did when facing the turn bet,ActionMove
move_facing_turn_2bet,,The move the player did when facing the turn 2bet,ActionMove
move_facing_turn_3bet,,The move the player did when facing the turn 3bet,ActionMove
move_facing_turn_4bet,,The move the player did when facing the turn 4bet,ActionMove
move_facing_turn_cbet,,The move the player did when facing the turn cbet,ActionMove
move_facing_turn_donk_bet,,The move the player did when facing the turn donk bet,ActionMove
flag_saw_river,False,Whether the player saw the river,bool
flag_river_first_to_talk,False,Whether the player was the first to talk on the river,bool
flag_river_has_position,False,Whether the player had position on the river,bool
flag_river_bet,False,Whether the player bet on the river,bool
flag_river_cbet_opportunity,False,Whether the player had the opportunity to make a c-bet on the river,bool
flag_river_cbet,False,Whether the player made a continuation bet on the river,bool
flag_river_face_cbet,False,Whether the player faced a continuation bet on the river,bool
